round_epochs,loss,accuracy,val_loss,val_accuracy,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,last_activation,losses,optimizer
200,0.30278128385543823,0.8804318904876709,0.3219779133796692,0.8746415376663208,relu,10,0,200,120,2,sigmoid,binary_crossentropy,Adam
150,0.30794432759284973,0.8774471282958984,0.31883931159973145,0.8758705258369446,relu,10,0,150,60,2,sigmoid,binary_crossentropy,Adam
200,0.3116832673549652,0.876305878162384,0.32009533047676086,0.8785333633422852,relu,20,0,200,30,2,sigmoid,binary_crossentropy,Nadam
100,0.3073948323726654,0.8788517117500305,0.3214588761329651,0.8750512003898621,relu,20,0,100,240,1,sigmoid,binary_crossentropy,Nadam
100,0.3138803541660309,0.8765692114830017,0.31668123602867126,0.8775092363357544,relu,30,0,100,60,1,sigmoid,binary_crossentropy,Adam
200,0.3070577383041382,0.8769204020500183,0.3193286061286926,0.8766899108886719,relu,10,0,200,60,2,sigmoid,binary_crossentropy,Nadam
150,0.30568021535873413,0.8792029023170471,0.32032960653305054,0.8770995736122131,relu,20,0,150,120,1,sigmoid,binary_crossentropy,Nadam
150,0.30602744221687317,0.8785883784294128,0.32236745953559875,0.8766899108886719,relu,20,0,150,120,1,sigmoid,binary_crossentropy,Adam
150,0.31296229362487793,0.8762180805206299,0.31667372584342957,0.880172073841095,relu,20,0,150,30,2,sigmoid,binary_crossentropy,Nadam
200,0.31266647577285767,0.8769204020500183,0.3178533911705017,0.8789430856704712,relu,30,0,200,30,1,sigmoid,binary_crossentropy,Nadam
100,0.30693623423576355,0.8784127831459045,0.31852445006370544,0.8773043751716614,relu,10,0,100,240,2,sigmoid,binary_crossentropy,Nadam
150,0.30285611748695374,0.8817487359046936,0.3265925645828247,0.8738222122192383,relu,10,0,150,240,2,sigmoid,binary_crossentropy,Adam
150,0.31108155846595764,0.8751646280288696,0.318217396736145,0.8783285617828369,relu,10,0,150,30,1,sigmoid,binary_crossentropy,Adam
100,0.312620609998703,0.8768326044082642,0.31731942296028137,0.8756657242774963,relu,10,0,100,60,1,sigmoid,binary_crossentropy,Nadam
100,0.31051304936408997,0.8777982592582703,0.31730416417121887,0.8773043751716614,relu,30,0,100,120,2,sigmoid,binary_crossentropy,Adam
150,0.30572447180747986,0.8792029023170471,0.3211653530597687,0.8752560615539551,relu,30,0,150,240,2,sigmoid,binary_crossentropy,Adam
100,0.31605324149131775,0.8756913542747498,0.3165593147277832,0.8773043751716614,relu,30,0,100,30,1,sigmoid,binary_crossentropy,Adam
150,0.3093808591365814,0.8778860569000244,0.3201494514942169,0.8762801885604858,relu,10,0,150,60,2,sigmoid,binary_crossentropy,Nadam
200,0.30767616629600525,0.8790273070335388,0.3212723433971405,0.8742318749427795,relu,20,0,200,60,1,sigmoid,binary_crossentropy,Nadam
100,0.31577104330062866,0.8761302828788757,0.3171917498111725,0.8775092363357544,relu,30,0,100,30,2,sigmoid,binary_crossentropy,Adam
150,0.3068523705005646,0.8789395093917847,0.31820806860923767,0.8777140378952026,relu,30,0,150,120,2,sigmoid,binary_crossentropy,Adam
100,0.3139374256134033,0.8758668899536133,0.3202732801437378,0.8785333633422852,relu,10,0,100,30,2,sigmoid,binary_crossentropy,Nadam
150,0.3050151765346527,0.8796418309211731,0.3220255672931671,0.8766899108886719,relu,10,0,150,120,2,sigmoid,binary_crossentropy,Adam
150,0.3110116124153137,0.87674480676651,0.31668269634246826,0.8777140378952026,relu,30,0,150,60,2,sigmoid,binary_crossentropy,Adam
150,0.3127192258834839,0.8751646280288696,0.31816408038139343,0.8758705258369446,relu,30,0,150,30,2,sigmoid,binary_crossentropy,Nadam
100,0.31512919068336487,0.8758668899536133,0.3164643347263336,0.8777140378952026,relu,30,0,100,30,2,sigmoid,binary_crossentropy,Nadam
100,0.30966079235076904,0.8779738545417786,0.3178815245628357,0.8762801885604858,relu,20,0,100,120,1,sigmoid,binary_crossentropy,Adam
200,0.3027908205986023,0.8799051642417908,0.3269328474998474,0.8766899108886719,relu,10,0,200,120,1,sigmoid,binary_crossentropy,Adam
200,0.30197274684906006,0.8820999264717102,0.32068806886672974,0.8754608631134033,relu,30,0,200,240,2,sigmoid,binary_crossentropy,Adam
200,0.3001827895641327,0.8822754621505737,0.3267606198787689,0.8752560615539551,relu,20,0,200,240,1,sigmoid,binary_crossentropy,Nadam
