round_epochs,loss,accuracy,val_loss,val_accuracy,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,last_activation,losses,optimizer
150,0.056581929326057434,0.9869272708892822,0.06530623137950897,0.9872667789459229,relu,10,0,150,120,2,sigmoid,binary_crossentropy,Nadam
150,0.05580073222517967,0.9869272708892822,0.06408480554819107,0.9872667789459229,relu,30,0,150,240,1,sigmoid,binary_crossentropy,Adam
100,0.05721593648195267,0.9868003726005554,0.06262098252773285,0.9875629544258118,relu,10,0,100,240,1,sigmoid,binary_crossentropy,Nadam
100,0.0590410977602005,0.9868003726005554,0.06248103082180023,0.9878590703010559,relu,30,0,100,120,2,sigmoid,binary_crossentropy,Adam
100,0.059604205191135406,0.9868003726005554,0.06385103613138199,0.9878590703010559,relu,20,0,100,120,1,sigmoid,binary_crossentropy,Adam
150,0.05863169953227043,0.9868003726005554,0.062099944800138474,0.9878590703010559,relu,30,0,150,60,1,sigmoid,binary_crossentropy,Nadam
100,0.058213893324136734,0.9868003726005554,0.06233830004930496,0.9875629544258118,relu,20,0,100,240,2,sigmoid,binary_crossentropy,Adam
150,0.06181439012289047,0.9866734147071838,0.06332442164421082,0.9878590703010559,relu,30,0,150,30,2,sigmoid,binary_crossentropy,Adam
200,0.059409596025943756,0.9866734147071838,0.06319493800401688,0.9878590703010559,relu,10,0,200,30,2,sigmoid,binary_crossentropy,Nadam
150,0.056002285331487656,0.987054169178009,0.0648496076464653,0.9875629544258118,relu,10,0,150,240,1,sigmoid,binary_crossentropy,Nadam
150,0.057324714958667755,0.9869272708892822,0.06377269327640533,0.9875629544258118,relu,10,0,150,60,2,sigmoid,binary_crossentropy,Nadam
200,0.058472130447626114,0.9868003726005554,0.06149435043334961,0.9878590703010559,relu,20,0,200,30,1,sigmoid,binary_crossentropy,Nadam
150,0.061615027487277985,0.9866734147071838,0.061874013394117355,0.9878590703010559,relu,30,0,150,30,1,sigmoid,binary_crossentropy,Adam
100,0.05788054317235947,0.9869272708892822,0.06262237578630447,0.9875629544258118,relu,30,0,100,240,1,sigmoid,binary_crossentropy,Adam
150,0.05731917545199394,0.9869272708892822,0.06282452493906021,0.9878590703010559,relu,20,0,150,120,2,sigmoid,binary_crossentropy,Nadam
100,0.05917322635650635,0.9868003726005554,0.06297867000102997,0.9878590703010559,relu,20,0,100,120,2,sigmoid,binary_crossentropy,Adam
200,0.055300164967775345,0.9871811270713806,0.06419040262699127,0.9875629544258118,relu,30,0,200,120,2,sigmoid,binary_crossentropy,Adam
150,0.059272173792123795,0.9866734147071838,0.06276093423366547,0.9878590703010559,relu,10,0,150,30,2,sigmoid,binary_crossentropy,Nadam
150,0.05551372468471527,0.986546516418457,0.06514325737953186,0.9872667789459229,relu,10,0,150,240,2,sigmoid,binary_crossentropy,Nadam
150,0.0563141331076622,0.987054169178009,0.06367740780115128,0.9875629544258118,relu,10,0,150,120,1,sigmoid,binary_crossentropy,Adam
100,0.06052341312170029,0.9868003726005554,0.062273893505334854,0.9878590703010559,relu,30,0,100,60,1,sigmoid,binary_crossentropy,Adam
200,0.057840745896101,0.9868003726005554,0.06419241428375244,0.9875629544258118,relu,30,0,200,60,2,sigmoid,binary_crossentropy,Adam
150,0.055293455719947815,0.9869272708892822,0.06605347245931625,0.9875629544258118,relu,10,0,150,240,1,sigmoid,binary_crossentropy,Adam
200,0.05653033405542374,0.9869272708892822,0.06280915439128876,0.9878590703010559,relu,30,0,200,120,1,sigmoid,binary_crossentropy,Nadam
200,0.05966823920607567,0.9868003726005554,0.06372729688882828,0.9872667789459229,relu,30,0,200,30,2,sigmoid,binary_crossentropy,Nadam
200,0.06050124019384384,0.9866734147071838,0.06301428377628326,0.9878590703010559,relu,20,0,200,30,2,sigmoid,binary_crossentropy,Nadam
200,0.05348354950547218,0.987054169178009,0.06842731684446335,0.9869706630706787,relu,10,0,200,240,2,sigmoid,binary_crossentropy,Nadam
150,0.059136178344488144,0.9868003726005554,0.0627630203962326,0.9878590703010559,relu,10,0,150,60,2,sigmoid,binary_crossentropy,Adam
150,0.05702986940741539,0.9871811270713806,0.06235775351524353,0.9875629544258118,relu,20,0,150,120,1,sigmoid,binary_crossentropy,Adam
150,0.06006428226828575,0.9868003726005554,0.06250014901161194,0.9878590703010559,relu,10,0,150,30,1,sigmoid,binary_crossentropy,Nadam
