round_epochs,loss,accuracy,val_loss,val_accuracy,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,last_activation,losses,optimizer
100,0.0695902407169342,0.9850759506225586,0.05985691770911217,0.9889389872550964,relu,20,0,100,30,1,sigmoid,binary_crossentropy,Adam
100,0.07022687792778015,0.9850759506225586,0.05988891050219536,0.9889389872550964,relu,20,0,100,30,2,sigmoid,binary_crossentropy,Adam
100,0.06853162497282028,0.9850759506225586,0.059953901916742325,0.9889389872550964,relu,10,0,100,60,1,sigmoid,binary_crossentropy,Nadam
150,0.06866645067930222,0.9851637482643127,0.05954432860016823,0.9889389872550964,relu,30,0,150,30,1,sigmoid,binary_crossentropy,Nadam
100,0.06874465942382812,0.9851637482643127,0.05932901054620743,0.9889389872550964,relu,10,0,100,120,1,sigmoid,binary_crossentropy,Nadam
150,0.06836479902267456,0.9850759506225586,0.06079353019595146,0.9889389872550964,relu,30,0,150,60,1,sigmoid,binary_crossentropy,Nadam
200,0.0677957758307457,0.9850759506225586,0.06103624403476715,0.9889389872550964,relu,20,0,200,60,1,sigmoid,binary_crossentropy,Nadam
100,0.06871567666530609,0.9850759506225586,0.059282802045345306,0.9889389872550964,relu,30,0,100,60,2,sigmoid,binary_crossentropy,Adam
200,0.06811042129993439,0.9850759506225586,0.060288894921541214,0.9889389872550964,relu,10,0,200,30,2,sigmoid,binary_crossentropy,Nadam
100,0.07017067074775696,0.9850759506225586,0.05969620123505592,0.9889389872550964,relu,10,0,100,30,1,sigmoid,binary_crossentropy,Adam
200,0.06570971757173538,0.9852514863014221,0.06052045896649361,0.9887341260910034,relu,30,0,200,240,2,sigmoid,binary_crossentropy,Adam
150,0.06649018079042435,0.9853392839431763,0.06382537633180618,0.9885292649269104,relu,10,0,150,240,2,sigmoid,binary_crossentropy,Nadam
150,0.06773418933153152,0.9852514863014221,0.060368575155735016,0.9887341260910034,relu,10,0,150,60,1,sigmoid,binary_crossentropy,Nadam
100,0.06811700761318207,0.9851637482643127,0.06008274853229523,0.9889389872550964,relu,20,0,100,120,2,sigmoid,binary_crossentropy,Adam
100,0.06781762093305588,0.9852514863014221,0.05954424664378166,0.9887341260910034,relu,20,0,100,240,2,sigmoid,binary_crossentropy,Adam
100,0.0689333826303482,0.9850759506225586,0.05965002626180649,0.9889389872550964,relu,20,0,100,60,2,sigmoid,binary_crossentropy,Adam
200,0.06687413901090622,0.9852514863014221,0.06025129556655884,0.9887341260910034,relu,10,0,200,60,2,sigmoid,binary_crossentropy,Adam
200,0.06544927507638931,0.9853392839431763,0.06300192326307297,0.9887341260910034,relu,10,0,200,120,2,sigmoid,binary_crossentropy,Adam
150,0.06688813865184784,0.9852514863014221,0.0601377934217453,0.9887341260910034,relu,30,0,150,240,2,sigmoid,binary_crossentropy,Nadam
100,0.06852267682552338,0.9850759506225586,0.059874702244997025,0.9889389872550964,relu,20,0,100,60,1,sigmoid,binary_crossentropy,Adam
100,0.06905387341976166,0.9850759506225586,0.05940563604235649,0.9889389872550964,relu,10,0,100,30,2,sigmoid,binary_crossentropy,Adam
100,0.06812755018472672,0.9852514863014221,0.06179475039243698,0.9885292649269104,relu,20,0,100,120,2,sigmoid,binary_crossentropy,Nadam
200,0.06918652355670929,0.9849881529808044,0.061272889375686646,0.9889389872550964,relu,20,0,200,30,2,sigmoid,binary_crossentropy,Adam
100,0.07000485062599182,0.9850759506225586,0.06076740100979805,0.9889389872550964,relu,30,0,100,30,2,sigmoid,binary_crossentropy,Nadam
150,0.06752457469701767,0.9850759506225586,0.059860073029994965,0.9889389872550964,relu,30,0,150,120,1,sigmoid,binary_crossentropy,Adam
200,0.06689000129699707,0.9852514863014221,0.06075083836913109,0.9885292649269104,relu,30,0,200,120,2,sigmoid,binary_crossentropy,Nadam
150,0.06805747747421265,0.9851637482643127,0.06001836061477661,0.9889389872550964,relu,30,0,150,120,1,sigmoid,binary_crossentropy,Nadam
100,0.06787551939487457,0.9852514863014221,0.06006042659282684,0.9887341260910034,relu,20,0,100,240,1,sigmoid,binary_crossentropy,Nadam
150,0.0690455213189125,0.9850759506225586,0.059223249554634094,0.9889389872550964,relu,10,0,150,30,2,sigmoid,binary_crossentropy,Adam
100,0.0688023492693901,0.9850759506225586,0.05984992906451225,0.9889389872550964,relu,30,0,100,120,2,sigmoid,binary_crossentropy,Nadam
