round_epochs,loss,accuracy,val_loss,val_accuracy,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,last_activation,losses,optimizer
200,0.3889658451080322,0.8398274183273315,0.38420334458351135,0.8540124297142029,relu,30,0,200,30,1,sigmoid,binary_crossentropy,Nadam
200,0.3761751353740692,0.847569465637207,0.38958874344825745,0.8466094136238098,relu,10,0,200,60,2,sigmoid,binary_crossentropy,Nadam
100,0.38048025965690613,0.845665693283081,0.3869478106498718,0.8477938771247864,relu,20,0,100,240,2,sigmoid,binary_crossentropy,Nadam
150,0.3877396881580353,0.8427465558052063,0.38556498289108276,0.8474977612495422,relu,30,0,150,30,2,sigmoid,binary_crossentropy,Adam
100,0.38791030645370483,0.8426195979118347,0.3861123323440552,0.846905529499054,relu,20,0,100,60,1,sigmoid,binary_crossentropy,Nadam
100,0.3957499861717224,0.8384312987327576,0.38919490575790405,0.8442404270172119,relu,30,0,100,30,2,sigmoid,binary_crossentropy,Nadam
100,0.3800297677516937,0.8459195494651794,0.3895050287246704,0.8460171818733215,relu,10,0,100,120,1,sigmoid,binary_crossentropy,Nadam
200,0.3798174262046814,0.845158040523529,0.38543882966041565,0.8492745161056519,relu,20,0,200,60,2,sigmoid,binary_crossentropy,Nadam
100,0.39093345403671265,0.8388120532035828,0.3848302662372589,0.8466094136238098,relu,20,0,100,30,2,sigmoid,binary_crossentropy,Adam
200,0.36918967962265015,0.8499809503555298,0.3906818926334381,0.8474977612495422,relu,20,0,200,240,1,sigmoid,binary_crossentropy,Nadam
150,0.38395628333091736,0.8426195979118347,0.3903372585773468,0.8433520793914795,relu,10,0,150,30,1,sigmoid,binary_crossentropy,Nadam
100,0.37559184432029724,0.848965585231781,0.39117467403411865,0.8463132977485657,relu,10,0,100,240,2,sigmoid,binary_crossentropy,Adam
150,0.3782976567745209,0.846554160118103,0.3926408290863037,0.849570631980896,relu,20,0,150,120,2,sigmoid,binary_crossentropy,Adam
150,0.3798191547393799,0.845665693283081,0.3903307318687439,0.8439443111419678,relu,30,0,150,120,1,sigmoid,binary_crossentropy,Adam
150,0.3845219314098358,0.8416042923927307,0.38736096024513245,0.8498667478561401,relu,10,0,150,30,2,sigmoid,binary_crossentropy,Nadam
200,0.381302148103714,0.8468079566955566,0.38518279790878296,0.8477938771247864,relu,20,0,200,60,1,sigmoid,binary_crossentropy,Adam
200,0.37448930740356445,0.848965585231781,0.3972074091434479,0.8436481952667236,relu,30,0,200,120,2,sigmoid,binary_crossentropy,Adam
200,0.37529823184013367,0.8463003039360046,0.3859109580516815,0.8504589796066284,relu,10,0,200,60,1,sigmoid,binary_crossentropy,Adam
150,0.3877597451210022,0.8436349630355835,0.3855890929698944,0.852235734462738,relu,20,0,150,30,2,sigmoid,binary_crossentropy,Nadam
100,0.38953492045402527,0.8407158255577087,0.38590940833091736,0.8474977612495422,relu,10,0,100,30,1,sigmoid,binary_crossentropy,Nadam
100,0.3831864893436432,0.8424926996231079,0.3858678638935089,0.8480899930000305,relu,20,0,100,120,2,sigmoid,binary_crossentropy,Nadam
100,0.3852643370628357,0.8410965800285339,0.38402846455574036,0.8519396185874939,relu,30,0,100,120,1,sigmoid,binary_crossentropy,Nadam
100,0.3895345628261566,0.8428734540939331,0.3844883441925049,0.8483861684799194,relu,20,0,100,30,2,sigmoid,binary_crossentropy,Nadam
200,0.3735162019729614,0.849854052066803,0.39096206426620483,0.849570631980896,relu,30,0,200,120,1,sigmoid,binary_crossentropy,Nadam
100,0.38039809465408325,0.8461733460426331,0.3898635804653168,0.8436481952667236,relu,30,0,100,240,2,sigmoid,binary_crossentropy,Nadam
150,0.37985140085220337,0.8430003523826599,0.3827050030231476,0.8501628637313843,relu,10,0,150,60,1,sigmoid,binary_crossentropy,Adam
100,0.39334383606910706,0.8390658497810364,0.3963990807533264,0.8415753841400146,relu,30,0,100,30,1,sigmoid,binary_crossentropy,Nadam
100,0.3837027847766876,0.8437619209289551,0.38422539830207825,0.8483861684799194,relu,10,0,100,60,1,sigmoid,binary_crossentropy,Adam
150,0.38484814763069153,0.8433811664581299,0.3849684000015259,0.846905529499054,relu,30,0,150,60,2,sigmoid,binary_crossentropy,Adam
200,0.3799174726009369,0.8452849388122559,0.38543716073036194,0.8474977612495422,relu,30,0,200,60,1,sigmoid,binary_crossentropy,Nadam
