round_epochs,loss,accuracy,val_loss,val_accuracy,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,last_activation,losses,optimizer
150,0.06362643092870712,0.9864805340766907,0.07282347232103348,0.9852519631385803,relu,10,0,150,240,1,sigmoid,binary_crossentropy,Adam
150,0.0659225583076477,0.9863927364349365,0.0675165131688118,0.9862760901451111,relu,20,0,150,60,2,sigmoid,binary_crossentropy,Nadam
150,0.0656120553612709,0.9863049983978271,0.06670539081096649,0.9860712885856628,relu,10,0,150,30,2,sigmoid,binary_crossentropy,Nadam
150,0.06539694964885712,0.9863927364349365,0.06753836572170258,0.9860712885856628,relu,30,0,150,60,1,sigmoid,binary_crossentropy,Nadam
200,0.06371896713972092,0.9863927364349365,0.06857582181692123,0.9860712885856628,relu,20,0,200,120,2,sigmoid,binary_crossentropy,Adam
150,0.06616558134555817,0.986217200756073,0.06587307900190353,0.9862760901451111,relu,30,0,150,30,2,sigmoid,binary_crossentropy,Adam
200,0.0650290846824646,0.9863927364349365,0.06702272593975067,0.9862760901451111,relu,30,0,200,60,2,sigmoid,binary_crossentropy,Adam
100,0.06499733030796051,0.9863927364349365,0.07016780227422714,0.9860712885856628,relu,10,0,100,240,1,sigmoid,binary_crossentropy,Nadam
100,0.06653441488742828,0.9863927364349365,0.06862122565507889,0.9862760901451111,relu,20,0,100,60,1,sigmoid,binary_crossentropy,Nadam
150,0.06426113098859787,0.9863927364349365,0.06824953854084015,0.9860712885856628,relu,10,0,150,120,1,sigmoid,binary_crossentropy,Nadam
100,0.06611751019954681,0.9863049983978271,0.06796988099813461,0.9862760901451111,relu,20,0,100,60,2,sigmoid,binary_crossentropy,Nadam
100,0.06780190020799637,0.986217200756073,0.06773948669433594,0.9862760901451111,relu,30,0,100,30,1,sigmoid,binary_crossentropy,Nadam
200,0.062315866351127625,0.9864805340766907,0.07249864190816879,0.9860712885856628,relu,20,0,200,240,1,sigmoid,binary_crossentropy,Nadam
100,0.06614265590906143,0.9863927364349365,0.06654945015907288,0.9862760901451111,relu,30,0,100,120,1,sigmoid,binary_crossentropy,Nadam
200,0.06256980448961258,0.9863049983978271,0.07187099754810333,0.9860712885856628,relu,30,0,200,240,2,sigmoid,binary_crossentropy,Adam
150,0.0637354701757431,0.9863927364349365,0.06963006407022476,0.9860712885856628,relu,30,0,150,240,2,sigmoid,binary_crossentropy,Nadam
200,0.06316196918487549,0.9863927364349365,0.06979969888925552,0.9860712885856628,relu,20,0,200,120,1,sigmoid,binary_crossentropy,Nadam
150,0.06376107782125473,0.9863927364349365,0.06900996714830399,0.9860712885856628,relu,10,0,150,120,2,sigmoid,binary_crossentropy,Adam
200,0.06353501230478287,0.9864805340766907,0.0736936405301094,0.9856616258621216,relu,10,0,200,120,2,sigmoid,binary_crossentropy,Adam
100,0.06561526656150818,0.9863049983978271,0.06781116127967834,0.9860712885856628,relu,20,0,100,120,2,sigmoid,binary_crossentropy,Nadam
100,0.06542721390724182,0.9863049983978271,0.06739754229784012,0.9860712885856628,relu,10,0,100,120,2,sigmoid,binary_crossentropy,Nadam
150,0.0653320923447609,0.986217200756073,0.0678054541349411,0.9860712885856628,relu,30,0,150,60,1,sigmoid,binary_crossentropy,Adam
200,0.06588992476463318,0.986217200756073,0.06669944524765015,0.9862760901451111,relu,30,0,200,30,2,sigmoid,binary_crossentropy,Adam
150,0.06407572329044342,0.9863927364349365,0.06859556585550308,0.9860712885856628,relu,20,0,150,120,2,sigmoid,binary_crossentropy,Nadam
200,0.0657927542924881,0.986217200756073,0.06772234290838242,0.9862760901451111,relu,30,0,200,30,2,sigmoid,binary_crossentropy,Nadam
100,0.06868087500333786,0.986217200756073,0.06865968555212021,0.9862760901451111,relu,20,0,100,30,1,sigmoid,binary_crossentropy,Nadam
150,0.06533916294574738,0.9863927364349365,0.06798344105482101,0.9862760901451111,relu,20,0,150,60,1,sigmoid,binary_crossentropy,Nadam
100,0.06592591851949692,0.9863927364349365,0.06710539013147354,0.9862760901451111,relu,30,0,100,120,2,sigmoid,binary_crossentropy,Adam
100,0.06534738093614578,0.9863927364349365,0.06890746206045151,0.9860712885856628,relu,30,0,100,240,2,sigmoid,binary_crossentropy,Nadam
100,0.06668820232152939,0.986217200756073,0.06684171408414841,0.9862760901451111,relu,20,0,100,60,1,sigmoid,binary_crossentropy,Adam
