round_epochs,loss,accuracy,val_loss,val_accuracy,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,last_activation,losses,optimizer
200,0.381827712059021,0.8483310341835022,0.40305301547050476,0.8329878449440002,relu,30,0,200,30,2,sigmoid,binary_crossentropy,Adam
100,0.3857417404651642,0.845158040523529,0.4076106548309326,0.8318033814430237,relu,30,0,100,30,2,sigmoid,binary_crossentropy,Nadam
150,0.37042760848999023,0.8511232137680054,0.39642009139060974,0.8392063975334167,relu,30,0,150,240,1,sigmoid,binary_crossentropy,Adam
200,0.36660653352737427,0.8537885546684265,0.4099966883659363,0.8335800766944885,relu,10,0,200,120,2,sigmoid,binary_crossentropy,Nadam
150,0.36768198013305664,0.8542962074279785,0.40463393926620483,0.8335800766944885,relu,20,0,150,240,2,sigmoid,binary_crossentropy,Adam
200,0.38139307498931885,0.8490925431251526,0.4034273326396942,0.8353568315505981,relu,10,0,200,30,1,sigmoid,binary_crossentropy,Nadam
200,0.37156644463539124,0.8504886627197266,0.40592843294143677,0.8341723680496216,relu,10,0,200,60,2,sigmoid,binary_crossentropy,Adam
200,0.3655051290988922,0.8536616563796997,0.40005922317504883,0.8380219340324402,relu,30,0,200,240,2,sigmoid,binary_crossentropy,Adam
100,0.37355783581733704,0.8506155610084534,0.3982524871826172,0.8359490633010864,relu,20,0,100,240,2,sigmoid,binary_crossentropy,Nadam
150,0.37127459049224854,0.8499809503555298,0.4007761776447296,0.8380219340324402,relu,10,0,150,120,1,sigmoid,binary_crossentropy,Nadam
100,0.372303307056427,0.8497270941734314,0.41005003452301025,0.8282499313354492,relu,10,0,100,240,1,sigmoid,binary_crossentropy,Nadam
100,0.37901073694229126,0.8497270941734314,0.39911186695098877,0.837725818157196,relu,10,0,100,60,2,sigmoid,binary_crossentropy,Adam
200,0.36220651865005493,0.8548039197921753,0.39943727850914,0.8353568315505981,relu,20,0,200,240,1,sigmoid,binary_crossentropy,Adam
100,0.37491539120674133,0.8515039682388306,0.39827394485473633,0.835060715675354,relu,10,0,100,120,2,sigmoid,binary_crossentropy,Nadam
100,0.3845248520374298,0.8468079566955566,0.40336915850639343,0.832395613193512,relu,20,0,100,30,2,sigmoid,binary_crossentropy,Adam
150,0.3794986307621002,0.8483310341835022,0.3986384868621826,0.835060715675354,relu,10,0,150,30,2,sigmoid,binary_crossentropy,Adam
100,0.3864787518978119,0.8454118371009827,0.40417343378067017,0.8338761925697327,relu,30,0,100,30,2,sigmoid,binary_crossentropy,Adam
150,0.37048840522766113,0.850361704826355,0.4102558493614197,0.8329878449440002,relu,10,0,150,120,2,sigmoid,binary_crossentropy,Adam
200,0.3697832226753235,0.8539154529571533,0.3965717554092407,0.8368374109268188,relu,20,0,200,120,1,sigmoid,binary_crossentropy,Nadam
100,0.37724119424819946,0.8499809503555298,0.3959144353866577,0.8362451791763306,relu,20,0,100,120,1,sigmoid,binary_crossentropy,Adam
100,0.3725097179412842,0.8492194414138794,0.40363022685050964,0.8332839608192444,relu,10,0,100,240,2,sigmoid,binary_crossentropy,Nadam
100,0.3827402591705322,0.8480771780014038,0.4008904993534088,0.8347645998001099,relu,10,0,100,30,1,sigmoid,binary_crossentropy,Adam
100,0.3828491270542145,0.8487117886543274,0.4012279808521271,0.835060715675354,relu,10,0,100,30,2,sigmoid,binary_crossentropy,Nadam
150,0.3775317072868347,0.8499809503555298,0.39671701192855835,0.8386141657829285,relu,20,0,150,60,2,sigmoid,binary_crossentropy,Adam
100,0.3741503655910492,0.8490925431251526,0.3979080021381378,0.8347645998001099,relu,20,0,100,240,1,sigmoid,binary_crossentropy,Adam
150,0.37790966033935547,0.8485848307609558,0.40406322479248047,0.8320994973182678,relu,20,0,150,60,1,sigmoid,binary_crossentropy,Nadam
150,0.372903048992157,0.8526462912559509,0.3988710939884186,0.8365412950515747,relu,20,0,150,120,2,sigmoid,binary_crossentropy,Nadam
150,0.3739596903324127,0.8529000878334045,0.39980655908584595,0.8341723680496216,relu,30,0,150,120,2,sigmoid,binary_crossentropy,Nadam
150,0.3706064820289612,0.8516309261322021,0.4012942314147949,0.8368374109268188,relu,10,0,150,120,2,sigmoid,binary_crossentropy,Nadam
150,0.379325807094574,0.8497270941734314,0.40015876293182373,0.8368374109268188,relu,20,0,150,60,2,sigmoid,binary_crossentropy,Nadam
