round_epochs,loss,accuracy,val_loss,val_accuracy,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,last_activation,losses,optimizer
100,0.30565744638442993,0.8793784379959106,0.3231533467769623,0.8746415376663208,relu,10,0,100,120,2,sigmoid,binary_crossentropy,Adam
150,0.30246248841285706,0.8799051642417908,0.3241525888442993,0.8740270137786865,relu,30,0,150,240,2,sigmoid,binary_crossentropy,Adam
100,0.3119940459728241,0.8766570091247559,0.3247341811656952,0.8717738389968872,relu,30,0,100,30,1,sigmoid,binary_crossentropy,Adam
200,0.3038196265697479,0.8799929618835449,0.3269224166870117,0.8742318749427795,relu,10,0,200,60,1,sigmoid,binary_crossentropy,Nadam
150,0.3055683672428131,0.8794662356376648,0.32578137516975403,0.8727980256080627,relu,30,0,150,120,2,sigmoid,binary_crossentropy,Nadam
150,0.3101680278778076,0.8783249855041504,0.32202592492103577,0.8736173510551453,relu,20,0,150,30,2,sigmoid,binary_crossentropy,Adam
100,0.31199806928634644,0.8777982592582703,0.32278716564178467,0.8746415376663208,relu,20,0,100,30,1,sigmoid,binary_crossentropy,Nadam
200,0.31144875288009644,0.8775348663330078,0.3246547281742096,0.8725932240486145,relu,30,0,200,30,1,sigmoid,binary_crossentropy,Nadam
100,0.3043976128101349,0.8803441524505615,0.32566049695014954,0.8727980256080627,relu,10,0,100,240,1,sigmoid,binary_crossentropy,Adam
100,0.3133206069469452,0.8777104616165161,0.3234812915325165,0.8744366765022278,relu,30,0,100,30,2,sigmoid,binary_crossentropy,Adam
200,0.30668944120407104,0.8777982592582703,0.32441338896751404,0.8719787001609802,relu,30,0,200,60,2,sigmoid,binary_crossentropy,Adam
150,0.3064855933189392,0.8790273070335388,0.3245682120323181,0.8736173510551453,relu,10,0,150,60,1,sigmoid,binary_crossentropy,Nadam
150,0.30482837557792664,0.8804318904876709,0.3255781829357147,0.8723883628845215,relu,20,0,150,120,2,sigmoid,binary_crossentropy,Nadam
150,0.30321937799453735,0.8806074857711792,0.3253859281539917,0.8730028867721558,relu,10,0,150,120,1,sigmoid,binary_crossentropy,Nadam
150,0.30151689052581787,0.8810464143753052,0.3293905556201935,0.871569037437439,relu,10,0,150,240,1,sigmoid,binary_crossentropy,Nadam
150,0.3112587630748749,0.8769204020500183,0.3236159384250641,0.871364176273346,relu,20,0,150,30,1,sigmoid,binary_crossentropy,Adam
100,0.30794981122016907,0.8792906403541565,0.32307764887809753,0.8730028867721558,relu,30,0,100,120,1,sigmoid,binary_crossentropy,Nadam
200,0.30830806493759155,0.877183735370636,0.32410749793052673,0.8738222122192383,relu,20,0,200,30,1,sigmoid,binary_crossentropy,Nadam
150,0.3094814419746399,0.8777104616165161,0.32335513830184937,0.8725932240486145,relu,30,0,150,60,2,sigmoid,binary_crossentropy,Adam
200,0.2992643713951111,0.8816609382629395,0.3282497227191925,0.8736173510551453,relu,20,0,200,240,1,sigmoid,binary_crossentropy,Adam
200,0.29915139079093933,0.8811342120170593,0.32614967226982117,0.8742318749427795,relu,20,0,200,240,2,sigmoid,binary_crossentropy,Adam
200,0.30059629678726196,0.8814854025840759,0.3281893730163574,0.8709545135498047,relu,10,0,200,120,2,sigmoid,binary_crossentropy,Adam
200,0.3022520840167999,0.8806074857711792,0.32607394456863403,0.8727980256080627,relu,20,0,200,120,1,sigmoid,binary_crossentropy,Adam
100,0.3082106411457062,0.8792029023170471,0.3249483108520508,0.873412549495697,relu,30,0,100,120,1,sigmoid,binary_crossentropy,Adam
150,0.3034059405326843,0.8806074857711792,0.32416293025016785,0.8740270137786865,relu,10,0,150,120,2,sigmoid,binary_crossentropy,Adam
150,0.3081898093223572,0.8783249855041504,0.3253311216831207,0.8725932240486145,relu,10,0,150,30,1,sigmoid,binary_crossentropy,Nadam
200,0.3063359260559082,0.8785883784294128,0.3234790563583374,0.8723883628845215,relu,20,0,200,60,2,sigmoid,binary_crossentropy,Adam
150,0.30565333366394043,0.879554033279419,0.32663917541503906,0.873207688331604,relu,30,0,150,120,1,sigmoid,binary_crossentropy,Adam
150,0.3088301122188568,0.8780616521835327,0.32478785514831543,0.873412549495697,relu,20,0,150,60,2,sigmoid,binary_crossentropy,Adam
100,0.30788901448249817,0.8790273070335388,0.32319337129592896,0.873207688331604,relu,30,0,100,120,2,sigmoid,binary_crossentropy,Nadam
