round_epochs,loss,accuracy,val_loss,val_accuracy,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,last_activation,losses,optimizer
200,0.06449484825134277,0.9859538078308105,0.07263024896383286,0.9868906140327454,relu,10,0,200,30,1,sigmoid,binary_crossentropy,Nadam
200,0.06317862868309021,0.9859538078308105,0.07443945854902267,0.9866858124732971,relu,10,0,200,60,2,sigmoid,binary_crossentropy,Adam
200,0.06456936150789261,0.9858660101890564,0.07014164328575134,0.9868906140327454,relu,30,0,200,30,1,sigmoid,binary_crossentropy,Nadam
200,0.06459750235080719,0.9859538078308105,0.07035847008228302,0.9868906140327454,relu,30,0,200,60,1,sigmoid,binary_crossentropy,Nadam
200,0.062063999474048615,0.9860416054725647,0.07853234559297562,0.9866858124732971,relu,30,0,200,240,2,sigmoid,binary_crossentropy,Adam
150,0.06615239381790161,0.9859538078308105,0.07024339586496353,0.9868906140327454,relu,20,0,150,30,2,sigmoid,binary_crossentropy,Nadam
150,0.0630405843257904,0.9859538078308105,0.07717982679605484,0.9868906140327454,relu,20,0,150,240,2,sigmoid,binary_crossentropy,Adam
200,0.06328987330198288,0.9859538078308105,0.07455190271139145,0.9868906140327454,relu,20,0,200,60,2,sigmoid,binary_crossentropy,Nadam
100,0.06451164931058884,0.9859538078308105,0.07114320993423462,0.9868906140327454,relu,20,0,100,120,2,sigmoid,binary_crossentropy,Nadam
200,0.062024783343076706,0.9859538078308105,0.07740424573421478,0.9868906140327454,relu,30,0,200,240,1,sigmoid,binary_crossentropy,Nadam
200,0.06484721601009369,0.9859538078308105,0.07283825427293777,0.9868906140327454,relu,10,0,200,30,1,sigmoid,binary_crossentropy,Adam
150,0.0655587762594223,0.9859538078308105,0.07060938328504562,0.9868906140327454,relu,30,0,150,30,2,sigmoid,binary_crossentropy,Nadam
100,0.06371933221817017,0.9860416054725647,0.07422426342964172,0.9866858124732971,relu,10,0,100,240,1,sigmoid,binary_crossentropy,Adam
150,0.06456240266561508,0.9859538078308105,0.0723126232624054,0.9868906140327454,relu,10,0,150,30,2,sigmoid,binary_crossentropy,Nadam
150,0.06290309131145477,0.9860416054725647,0.0757124200463295,0.9868906140327454,relu,10,0,150,240,2,sigmoid,binary_crossentropy,Nadam
150,0.06428609043359756,0.9860416054725647,0.07142874598503113,0.9868906140327454,relu,10,0,150,60,2,sigmoid,binary_crossentropy,Nadam
150,0.0625324547290802,0.9859538078308105,0.07757284492254257,0.9866858124732971,relu,20,0,150,240,2,sigmoid,binary_crossentropy,Nadam
100,0.06535597890615463,0.9859538078308105,0.0704895481467247,0.9868906140327454,relu,30,0,100,60,2,sigmoid,binary_crossentropy,Adam
200,0.06414641439914703,0.9859538078308105,0.07183250784873962,0.9868906140327454,relu,20,0,200,30,2,sigmoid,binary_crossentropy,Adam
100,0.0647415965795517,0.9859538078308105,0.07070497423410416,0.9868906140327454,relu,10,0,100,60,2,sigmoid,binary_crossentropy,Nadam
100,0.06526939570903778,0.9859538078308105,0.07046893984079361,0.9868906140327454,relu,20,0,100,60,1,sigmoid,binary_crossentropy,Adam
200,0.061953913420438766,0.9860416054725647,0.07966884970664978,0.9866858124732971,relu,10,0,200,120,1,sigmoid,binary_crossentropy,Nadam
100,0.06591735035181046,0.9859538078308105,0.07012258470058441,0.9868906140327454,relu,10,0,100,30,1,sigmoid,binary_crossentropy,Nadam
100,0.0648588016629219,0.9859538078308105,0.07073326408863068,0.9868906140327454,relu,20,0,100,60,2,sigmoid,binary_crossentropy,Adam
100,0.06406755745410919,0.9858660101890564,0.07362855225801468,0.9868906140327454,relu,30,0,100,240,2,sigmoid,binary_crossentropy,Nadam
100,0.06537923216819763,0.9859538078308105,0.07068507373332977,0.9868906140327454,relu,30,0,100,60,1,sigmoid,binary_crossentropy,Adam
150,0.06267406791448593,0.9860416054725647,0.07675671577453613,0.9868906140327454,relu,10,0,150,240,1,sigmoid,binary_crossentropy,Adam
100,0.06386935710906982,0.9860416054725647,0.07315267622470856,0.9868906140327454,relu,20,0,100,240,2,sigmoid,binary_crossentropy,Adam
200,0.0629216879606247,0.9859538078308105,0.07629566639661789,0.9868906140327454,relu,20,0,200,120,2,sigmoid,binary_crossentropy,Adam
150,0.06445775926113129,0.9858660101890564,0.07076381891965866,0.9868906140327454,relu,20,0,150,60,1,sigmoid,binary_crossentropy,Adam
