round_epochs,loss,accuracy,val_loss,val_accuracy,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,kernel_initializer,last_activation,losses,optimizer
100,0.31529995799064636,0.8806179761886597,0.3220027983188629,0.875281572341919,relu,30,0,100,9,2,uniform,sigmoid,binary_crossentropy,Adam
100,0.3207080066204071,0.8796523809432983,0.32472726702690125,0.8750767707824707,elu,30,0,100,10,2,normal,sigmoid,binary_crossentropy,Adam
100,0.3158024251461029,0.879125714302063,0.32072776556015015,0.8754863739013672,relu,30,0,100,10,0,normal,sigmoid,binary_crossentropy,Adam
100,0.3199056088924408,0.8790379166603088,0.3232255280017853,0.8750767707824707,elu,30,0,100,9,1,normal,sigmoid,binary_crossentropy,Nadam
100,0.314834326505661,0.8813202381134033,0.32052531838417053,0.8761007785797119,relu,30,0,100,10,0,normal,sigmoid,binary_crossentropy,Nadam
100,0.32035714387893677,0.8793890476226807,0.3238216042518616,0.875281572341919,elu,30,0,100,10,0,uniform,sigmoid,binary_crossentropy,Nadam
100,0.3135320544242859,0.8817591071128845,0.3203282058238983,0.8748720288276672,relu,30,0,100,10,1,normal,sigmoid,binary_crossentropy,Nadam
100,0.31473684310913086,0.881144642829895,0.32018572092056274,0.8756911754608154,relu,30,0,100,11,1,normal,sigmoid,binary_crossentropy,Nadam
100,0.3153199255466461,0.8801790475845337,0.3219878375530243,0.8765103220939636,relu,30,0,100,11,2,normal,sigmoid,binary_crossentropy,Adam
100,0.31617406010627747,0.8806179761886597,0.3214447796344757,0.8758959770202637,relu,30,0,100,10,2,normal,sigmoid,binary_crossentropy,Nadam
