round_epochs,loss,accuracy,val_loss,val_accuracy,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,last_activation,losses,optimizer
200,0.054809246212244034,0.987434983253479,0.08237386494874954,0.9860823154449463,relu,20,0,200,240,2,sigmoid,binary_crossentropy,Nadam
200,0.0538407638669014,0.9876887798309326,0.08725324273109436,0.9860823154449463,relu,10,0,200,240,2,sigmoid,binary_crossentropy,Adam
200,0.05652458220720291,0.9875618815422058,0.07873766869306564,0.9863784313201904,relu,10,0,200,60,2,sigmoid,binary_crossentropy,Nadam
150,0.06008485332131386,0.987054169178009,0.07117857038974762,0.9869706630706787,relu,10,0,150,30,1,sigmoid,binary_crossentropy,Adam
200,0.059999193996191025,0.987054169178009,0.07120704650878906,0.9866745471954346,relu,30,0,200,30,1,sigmoid,binary_crossentropy,Adam
150,0.055944669991731644,0.987434983253479,0.07632161676883698,0.9863784313201904,relu,20,0,150,120,2,sigmoid,binary_crossentropy,Nadam
150,0.0559101477265358,0.9875618815422058,0.07643921673297882,0.9863784313201904,relu,30,0,150,240,1,sigmoid,binary_crossentropy,Nadam
200,0.05809367075562477,0.9871811270713806,0.07509887963533401,0.9863784313201904,relu,10,0,200,30,2,sigmoid,binary_crossentropy,Adam
100,0.05732511356472969,0.987434983253479,0.07362470775842667,0.9866745471954346,relu,30,0,100,240,1,sigmoid,binary_crossentropy,Nadam
150,0.058535024523735046,0.987054169178009,0.07188747823238373,0.9869706630706787,relu,20,0,150,30,1,sigmoid,binary_crossentropy,Adam
200,0.05351307615637779,0.9873080253601074,0.08741651475429535,0.9863784313201904,relu,10,0,200,240,1,sigmoid,binary_crossentropy,Nadam
150,0.06073545292019844,0.9871811270713806,0.06988153606653214,0.9869706630706787,relu,30,0,150,30,2,sigmoid,binary_crossentropy,Nadam
100,0.057982437312603,0.987054169178009,0.07332097738981247,0.9869706630706787,relu,20,0,100,120,1,sigmoid,binary_crossentropy,Adam
100,0.05984559655189514,0.987054169178009,0.0691232979297638,0.9869706630706787,relu,30,0,100,60,1,sigmoid,binary_crossentropy,Adam
150,0.05839158594608307,0.9871811270713806,0.07340168952941895,0.9866745471954346,relu,30,0,150,60,2,sigmoid,binary_crossentropy,Adam
200,0.05788690224289894,0.9871811270713806,0.07462500035762787,0.9860823154449463,relu,10,0,200,30,1,sigmoid,binary_crossentropy,Adam
200,0.05877213925123215,0.9871811270713806,0.07193849980831146,0.9869706630706787,relu,30,0,200,30,2,sigmoid,binary_crossentropy,Adam
150,0.05634109675884247,0.9875618815422058,0.07780089974403381,0.9866745471954346,relu,30,0,150,240,1,sigmoid,binary_crossentropy,Adam
100,0.06146036088466644,0.987054169178009,0.0682872012257576,0.9869706630706787,relu,30,0,100,30,1,sigmoid,binary_crossentropy,Nadam
100,0.057234130799770355,0.9873080253601074,0.07728520035743713,0.9860823154449463,relu,10,0,100,240,2,sigmoid,binary_crossentropy,Nadam
100,0.05690121650695801,0.9873080253601074,0.07647133618593216,0.9863784313201904,relu,20,0,100,240,1,sigmoid,binary_crossentropy,Adam
200,0.05695468187332153,0.987434983253479,0.07627590000629425,0.9866745471954346,relu,20,0,200,60,1,sigmoid,binary_crossentropy,Adam
150,0.055535513907670975,0.9875618815422058,0.07882024347782135,0.9863784313201904,relu,30,0,150,240,2,sigmoid,binary_crossentropy,Adam
200,0.05555334687232971,0.987434983253479,0.07991696149110794,0.9866745471954346,relu,20,0,200,120,1,sigmoid,binary_crossentropy,Nadam
200,0.054077744483947754,0.9875618815422058,0.08487296104431152,0.9863784313201904,relu,20,0,200,240,1,sigmoid,binary_crossentropy,Adam
200,0.054066963493824005,0.9875618815422058,0.08500554412603378,0.9860823154449463,relu,20,0,200,240,1,sigmoid,binary_crossentropy,Nadam
150,0.056773196905851364,0.987434983253479,0.07281582057476044,0.9863784313201904,relu,30,0,150,120,2,sigmoid,binary_crossentropy,Nadam
150,0.05713149532675743,0.9873080253601074,0.07574261724948883,0.9863784313201904,relu,30,0,150,120,2,sigmoid,binary_crossentropy,Adam
100,0.05743630975484848,0.987434983253479,0.07646337151527405,0.9866745471954346,relu,10,0,100,120,2,sigmoid,binary_crossentropy,Nadam
150,0.05723929777741432,0.9871811270713806,0.07177262008190155,0.9869706630706787,relu,10,0,150,60,2,sigmoid,binary_crossentropy,Nadam
